
2022/08/28 (20:12:19) | ===> btop++ v.1.2.8
2022/08/28 (20:12:19) | ERROR: Invalid hex value: #FEE6F8

2022/09/01 (17:35:38) | ===> btop++ v.1.2.9
2022/09/01 (17:35:38) | ERROR: Invalid RGB decimal value: "15121c"

2022/09/03 (10:40:09) | ===> btop++ v.1.2.9
2022/09/03 (10:40:09) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2022/09/03 (10:40:26) | ===> btop++ v.1.2.9
2022/09/03 (10:40:26) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2022/09/27 (02:05:05) | ===> btop++ v.1.2.9
2022/09/27 (02:05:05) | ERROR: Invalid RGB decimal value: "ba1a84"
2022/09/27 (02:05:06) | ERROR: Invalid RGB decimal value: "ba1a84"

2023/01/29 (13:34:02) | ===> btop++ v.1.2.13
2023/01/29 (13:34:02) | ERROR: Invalid hex value:  Main text color
2023/01/29 (13:34:11) | ERROR: Invalid hex value:  Main text color
2023/01/29 (13:36:02) | ERROR: Invalid hex value:  Main text color

2023/02/02 (23:42:40) | ===> btop++ v.1.2.13
2023/02/02 (23:42:40) | ERROR: Invalid hex value:  Main text color

2023/02/03 (08:40:43) | ===> btop++ v.1.2.13
2023/02/03 (08:40:43) | ERROR: Invalid hex value:  Main text color

2023/02/03 (14:35:23) | ===> btop++ v.1.2.13
2023/02/03 (14:35:23) | ERROR: Invalid hex value:  Main text color

2023/02/04 (14:57:49) | ===> btop++ v.1.2.13
2023/02/04 (14:57:49) | ERROR: Invalid hex value:  Main text color

2023/02/04 (16:00:20) | ===> btop++ v.1.2.13
2023/02/04 (16:00:20) | ERROR: Failed to get size of terminal!

2023/02/04 (18:44:51) | ===> btop++ v.1.2.13
2023/02/04 (18:44:51) | ERROR: Failed to get size of terminal!

2023/02/04 (20:06:40) | ===> btop++ v.1.2.13
2023/02/04 (20:06:40) | ERROR: Invalid hex value:  Main text color

2023/02/05 (18:58:41) | ===> btop++ v.1.2.13
2023/02/05 (18:58:41) | ERROR: Invalid hex value:  Main text color

2023/02/05 (19:30:53) | ===> btop++ v.1.2.13
2023/02/05 (19:30:53) | ERROR: Invalid hex value:  Main text color

2023/02/06 (21:08:44) | ===> btop++ v.1.2.13
2023/02/06 (21:08:44) | ERROR: Invalid hex value:  Main text color

2023/02/06 (21:21:43) | ===> btop++ v.1.2.13
2023/02/06 (21:21:43) | ERROR: Invalid hex value:  Main text color

2023/02/07 (19:40:22) | ===> btop++ v.1.2.13
2023/02/07 (19:40:22) | ERROR: Invalid hex value:  Main text color

2023/02/10 (19:25:31) | ===> btop++ v.1.2.13
